YEAR,humidity,tavg,tmax,tmin,district,rainfall,wind,climate_source,distance_km
2011,66.07,23.47,43.02,10.1,Neno,2.47,1.95,Chiradzulu,50.0
2012,63.51,23.96,41.1,9.83,Neno,2.9,2.0,Chiradzulu,50.0
2013,66.98,23.3,41.56,10.69,Neno,3.25,2.1,Chiradzulu,50.0
2014,65.23,23.78,41.35,10.67,Neno,2.71,2.06,Chiradzulu,50.0
2015,65.22,23.89,42.34,11.0,Neno,4.01,2.0,Chiradzulu,50.0
2016,62.22,24.57,41.26,10.93,Neno,3.27,2.07,Chiradzulu,50.0
2017,69.06,23.48,41.92,11.0,Neno,4.94,1.93,Chiradzulu,50.0
2018,71.32,23.08,40.87,10.34,Neno,4.03,2.04,Chiradzulu,50.0
2019,70.31,23.55,42.38,9.95,Neno,4.68,1.98,Chiradzulu,50.0
2020,66.74,23.82,43.15,9.48,Neno,3.79,2.03,Chiradzulu,50.0
2021,67.52,23.65,42.11,9.94,Neno,3.64,2.02,Chiradzulu,50.0
2022,72.11,23.05,39.98,10.22,Neno,6.13,1.96,Chiradzulu,50.0
2023,69.1,23.84,41.99,10.56,Neno,5.01,1.94,Chiradzulu,50.0
2024,67.85,23.77,40.51,10.37,Neno,3.92,1.96,Chiradzulu,50.0
2025,71.33,23.33,41.28,9.31,Neno,4.97,1.86,Chiradzulu,50.0
1981,65.17,22.45,35.17,9.44,Nkhata Bay,3.4,2.9,Chitipa,50.0
1982,71.07,22.14,33.96,9.32,Nkhata Bay,5.28,2.82,Chitipa,50.0
1983,67.54,22.94,36.16,11.45,Nkhata Bay,3.64,2.93,Chitipa,50.0
1984,70.82,21.74,33.88,11.54,Nkhata Bay,5.74,2.87,Chitipa,50.0
1985,70.08,21.64,35.03,9.93,Nkhata Bay,5.32,2.83,Chitipa,50.0
1986,69.97,21.73,34.23,9.91,Nkhata Bay,5.01,2.89,Chitipa,50.0
1987,68.42,22.49,34.85,9.93,Nkhata Bay,3.92,2.76,Chitipa,50.0
1988,66.72,22.9,34.71,11.68,Nkhata Bay,3.9,2.89,Chitipa,50.0
1989,70.89,21.8,34.86,10.54,Nkhata Bay,4.75,2.83,Chitipa,50.0
1990,65.98,22.57,36.42,11.21,Nkhata Bay,3.18,2.99,Chitipa,50.0
1991,67.61,22.44,35.21,9.91,Nkhata Bay,3.76,2.86,Chitipa,50.0
1992,65.35,22.65,34.81,10.19,Nkhata Bay,2.77,2.96,Chitipa,50.0
1993,67.11,22.29,36.04,10.06,Nkhata Bay,3.62,3.0,Chitipa,50.0
1994,66.3,22.49,36.22,10.63,Nkhata Bay,3.44,2.92,Chitipa,50.0
1995,66.61,22.47,36.02,10.82,Nkhata Bay,3.25,2.96,Chitipa,50.0
1996,67.78,22.26,35.56,9.43,Nkhata Bay,4.05,2.8,Chitipa,50.0
1997,69.76,22.4,36.08,10.6,Nkhata Bay,3.36,2.98,Chitipa,50.0
1998,62.59,23.55,35.61,11.64,Nkhata Bay,1.94,3.04,Chitipa,50.0
1999,67.87,22.4,35.54,10.78,Nkhata Bay,3.59,3.01,Chitipa,50.0
2000,63.95,22.91,34.76,11.1,Nkhata Bay,2.48,2.87,Chitipa,50.0
2001,63.52,23.04,36.25,11.5,Nkhata Bay,2.27,2.83,Chitipa,50.0
2002,65.47,23.03,35.21,11.0,Nkhata Bay,2.86,2.91,Chitipa,50.0
2003,64.78,23.21,35.65,10.69,Nkhata Bay,2.8,2.65,Chitipa,50.0
2004,67.62,22.77,35.49,10.8,Nkhata Bay,3.15,2.87,Chitipa,50.0
2005,64.36,23.32,35.8,11.51,Nkhata Bay,2.03,2.81,Chitipa,50.0
2006,68.78,22.74,35.62,10.19,Nkhata Bay,4.34,2.66,Chitipa,50.0
2007,69.14,22.65,35.99,10.91,Nkhata Bay,4.02,2.68,Chitipa,50.0
2008,67.59,22.45,35.55,10.47,Nkhata Bay,3.22,2.62,Chitipa,50.0
2009,67.92,22.68,34.47,11.25,Nkhata Bay,3.39,2.62,Chitipa,50.0
2010,67.19,22.94,35.44,10.42,Nkhata Bay,3.19,2.74,Chitipa,50.0
2011,69.09,22.59,35.97,11.11,Nkhata Bay,3.55,2.48,Chitipa,50.0
2012,66.7,22.83,35.51,10.92,Nkhata Bay,3.35,2.55,Chitipa,50.0
2013,65.52,23.13,36.54,11.82,Nkhata Bay,3.34,2.76,Chitipa,50.0
2014,70.07,22.7,35.24,10.81,Nkhata Bay,3.92,2.65,Chitipa,50.0
2015,67.53,23.14,36.0,12.55,Nkhata Bay,3.07,2.69,Chitipa,50.0
2016,68.56,22.78,35.2,11.06,Nkhata Bay,3.8,2.68,Chitipa,50.0
2017,70.67,22.67,35.77,12.3,Nkhata Bay,4.47,2.59,Chitipa,50.0
2018,71.55,22.38,34.57,10.77,Nkhata Bay,4.11,2.69,Chitipa,50.0
2019,71.37,22.85,37.13,11.61,Nkhata Bay,3.92,2.58,Chitipa,50.0
2020,73.18,22.42,34.66,11.26,Nkhata Bay,5.01,2.57,Chitipa,50.0
2021,70.43,22.45,35.6,10.53,Nkhata Bay,3.37,2.79,Chitipa,50.0
2022,71.03,22.25,34.46,11.94,Nkhata Bay,5.05,2.6,Chitipa,50.0
2023,70.24,23.09,35.83,11.44,Nkhata Bay,3.65,2.62,Chitipa,50.0
2024,68.91,23.21,35.39,11.46,Nkhata Bay,3.25,2.64,Chitipa,50.0
2025,69.67,22.83,34.94,10.8,Nkhata Bay,4.94,2.71,Chitipa,50.0
1981,67.92,20.15,36.8,4.5,Nkhotakota,2.65,2.49,Kasungu,50.0
1982,75.58,19.67,34.35,5.16,Nkhotakota,4.69,2.38,Kasungu,50.0
1983,68.67,21.14,36.77,6.88,Nkhotakota,3.86,2.35,Kasungu,50.0
1984,73.49,19.85,33.79,6.99,Nkhotakota,4.47,2.37,Kasungu,50.0
1985,75.35,19.36,35.95,4.44,Nkhotakota,3.96,2.4,Kasungu,50.0
1986,73.16,19.69,35.3,5.65,Nkhotakota,4.59,2.36,Kasungu,50.0
1987,68.92,20.63,35.93,5.85,Nkhotakota,3.24,2.31,Kasungu,50.0
1988,71.18,20.53,35.07,7.16,Nkhotakota,3.58,2.46,Kasungu,50.0
1989,74.86,19.74,35.67,6.48,Nkhotakota,4.45,2.42,Kasungu,50.0
1990,67.01,20.7,36.46,7.76,Nkhotakota,2.9,2.48,Kasungu,50.0
1991,66.89,20.72,34.51,6.34,Nkhotakota,3.35,2.39,Kasungu,50.0
1992,62.21,21.43,35.1,7.79,Nkhotakota,2.86,2.41,Kasungu,50.0
1993,71.98,20.16,36.06,5.82,Nkhotakota,3.89,2.39,Kasungu,50.0
1994,63.56,20.93,37.55,6.19,Nkhotakota,2.67,2.48,Kasungu,50.0
1995,63.07,21.27,36.98,6.98,Nkhotakota,2.88,2.49,Kasungu,50.0
1996,68.96,20.49,35.68,5.82,Nkhotakota,3.38,2.41,Kasungu,50.0
1997,72.43,20.43,36.82,7.27,Nkhotakota,2.9,2.52,Kasungu,50.0
1998,59.99,22.05,35.87,8.08,Nkhotakota,2.12,2.63,Kasungu,50.0
1999,72.58,20.2,35.53,5.45,Nkhotakota,3.32,2.56,Kasungu,50.0
2000,67.52,20.91,34.78,8.24,Nkhotakota,2.6,2.46,Kasungu,50.0
2001,66.35,20.99,35.43,6.36,Nkhotakota,2.8,2.39,Kasungu,50.0
2002,65.77,21.28,35.95,6.13,Nkhotakota,2.6,2.42,Kasungu,50.0
2003,66.91,21.14,36.37,7.41,Nkhotakota,2.89,2.25,Kasungu,50.0
2004,69.58,20.87,36.17,7.98,Nkhotakota,3.51,2.4,Kasungu,50.0
2005,62.54,21.61,36.39,7.91,Nkhotakota,1.88,2.38,Kasungu,50.0
2006,68.63,20.91,36.65,6.73,Nkhotakota,2.93,2.31,Kasungu,50.0
2007,68.81,20.98,36.25,7.0,Nkhotakota,2.77,2.36,Kasungu,50.0
2008,65.31,20.93,36.21,6.61,Nkhotakota,2.56,2.29,Kasungu,50.0
2009,69.7,20.62,34.83,7.42,Nkhotakota,2.83,2.23,Kasungu,50.0
2010,66.81,21.44,36.61,7.58,Nkhotakota,3.25,2.4,Kasungu,50.0
2011,68.43,20.81,38.14,6.81,Nkhotakota,2.61,2.16,Kasungu,50.0
2012,66.35,21.21,36.41,5.95,Nkhotakota,3.07,2.22,Kasungu,50.0
2013,65.2,21.28,36.76,8.17,Nkhotakota,3.37,2.31,Kasungu,50.0
2014,70.15,20.81,37.91,6.65,Nkhotakota,3.68,2.29,Kasungu,50.0
2015,65.73,21.6,38.07,8.2,Nkhotakota,1.75,2.37,Kasungu,50.0
2016,62.25,22.04,36.69,8.43,Nkhotakota,2.27,2.4,Kasungu,50.0
2017,67.81,21.39,38.44,8.73,Nkhotakota,2.7,2.42,Kasungu,50.0
2018,69.74,21.0,36.11,6.06,Nkhotakota,3.36,2.39,Kasungu,50.0
2019,71.8,20.96,37.69,6.59,Nkhotakota,3.62,2.32,Kasungu,50.0
2020,70.76,21.01,36.09,6.92,Nkhotakota,3.93,2.33,Kasungu,50.0
2021,70.47,20.82,36.83,7.06,Nkhotakota,3.07,2.39,Kasungu,50.0
2022,74.59,20.22,35.4,7.54,Nkhotakota,4.48,2.23,Kasungu,50.0
2023,72.25,21.14,37.06,7.02,Nkhotakota,3.3,2.26,Kasungu,50.0
2024,66.93,21.64,35.9,6.79,Nkhotakota,4.22,2.29,Kasungu,50.0
2025,67.29,21.54,36.46,7.21,Nkhotakota,2.89,2.42,Kasungu,50.0
1981,71.56,19.1,35.71,4.32,Ntchisi,2.65,2.49,Lilongwe,50.0
1982,76.71,18.89,32.85,4.88,Ntchisi,4.69,2.38,Lilongwe,50.0
1983,71.51,20.17,35.51,6.13,Ntchisi,3.86,2.35,Lilongwe,50.0
1984,76.08,19.01,32.78,6.58,Ntchisi,4.47,2.37,Lilongwe,50.0
1985,76.97,18.66,34.57,3.57,Ntchisi,3.96,2.4,Lilongwe,50.0
1986,75.96,18.79,33.64,5.23,Ntchisi,4.59,2.36,Lilongwe,50.0
1987,71.51,19.72,34.76,5.47,Ntchisi,3.24,2.31,Lilongwe,50.0
1988,73.89,19.6,33.4,6.12,Ntchisi,3.58,2.46,Lilongwe,50.0
1989,76.31,18.99,34.95,6.22,Ntchisi,4.45,2.42,Lilongwe,50.0
1990,69.21,19.88,35.07,6.98,Ntchisi,2.9,2.48,Lilongwe,50.0
1991,69.87,19.73,33.1,5.87,Ntchisi,3.35,2.39,Lilongwe,50.0
1992,64.55,20.53,34.55,6.4,Ntchisi,2.86,2.41,Lilongwe,50.0
1993,73.08,19.51,35.03,6.08,Ntchisi,3.89,2.39,Lilongwe,50.0
1994,64.87,20.18,35.72,6.35,Ntchisi,2.67,2.48,Lilongwe,50.0
1995,66.58,20.24,35.21,6.02,Ntchisi,2.88,2.49,Lilongwe,50.0
1996,71.33,19.63,34.83,5.65,Ntchisi,3.38,2.41,Lilongwe,50.0
1997,74.2,19.65,35.56,6.74,Ntchisi,2.9,2.52,Lilongwe,50.0
1998,64.16,20.94,34.44,7.53,Ntchisi,2.12,2.63,Lilongwe,50.0
1999,75.77,19.26,34.09,4.95,Ntchisi,3.32,2.56,Lilongwe,50.0
2000,70.65,20.01,33.82,7.71,Ntchisi,2.6,2.46,Lilongwe,50.0
2001,69.51,20.05,34.08,5.55,Ntchisi,2.8,2.39,Lilongwe,50.0
2002,68.43,20.35,34.8,5.81,Ntchisi,2.6,2.42,Lilongwe,50.0
2003,70.57,20.11,34.86,7.18,Ntchisi,2.89,2.25,Lilongwe,50.0
2004,72.67,19.9,34.49,7.28,Ntchisi,3.51,2.4,Lilongwe,50.0
2005,65.98,20.63,35.23,6.91,Ntchisi,1.88,2.38,Lilongwe,50.0
2006,71.83,19.96,35.17,5.38,Ntchisi,2.93,2.31,Lilongwe,50.0
2007,69.81,20.34,35.6,6.98,Ntchisi,2.77,2.36,Lilongwe,50.0
2008,68.07,20.02,35.45,6.16,Ntchisi,2.56,2.29,Lilongwe,50.0
2009,70.98,19.94,34.65,6.84,Ntchisi,2.83,2.23,Lilongwe,50.0
2010,69.72,20.52,35.53,6.66,Ntchisi,3.25,2.4,Lilongwe,50.0
2011,70.74,19.98,36.99,6.19,Ntchisi,2.61,2.16,Lilongwe,50.0
2012,68.86,20.31,35.07,4.97,Ntchisi,3.07,2.22,Lilongwe,50.0
2013,68.41,20.29,35.51,7.41,Ntchisi,3.37,2.31,Lilongwe,50.0
2014,70.53,20.23,36.56,7.02,Ntchisi,3.68,2.29,Lilongwe,50.0
2015,67.98,20.68,36.32,7.41,Ntchisi,1.75,2.37,Lilongwe,50.0
2016,66.43,20.93,35.54,7.94,Ntchisi,2.27,2.4,Lilongwe,50.0
2017,71.7,20.28,37.03,7.83,Ntchisi,2.7,2.42,Lilongwe,50.0
2018,71.05,20.29,35.15,5.41,Ntchisi,3.36,2.39,Lilongwe,50.0
2019,73.52,20.19,35.84,5.67,Ntchisi,3.62,2.32,Lilongwe,50.0
2020,71.56,20.32,35.16,6.76,Ntchisi,3.93,2.33,Lilongwe,50.0
2021,72.2,20.03,35.5,6.84,Ntchisi,3.07,2.39,Lilongwe,50.0
2022,75.12,19.66,34.57,7.01,Ntchisi,4.48,2.23,Lilongwe,50.0
2023,74.17,20.36,35.64,6.61,Ntchisi,3.3,2.26,Lilongwe,50.0
2024,70.23,20.6,34.4,5.97,Ntchisi,4.22,2.29,Lilongwe,50.0
2025,72.29,20.28,34.9,5.95,Ntchisi,2.89,2.42,Lilongwe,50.0
1981,76.04,19.77,38.26,5.32,Phalombe,3.03,2.08,Mulanje,50.0
1982,76.86,19.91,35.08,7.71,Phalombe,4.06,1.9,Mulanje,50.0
1983,73.76,20.98,34.96,8.35,Phalombe,2.85,2.1,Mulanje,50.0
1984,77.86,19.98,35.72,8.03,Phalombe,4.88,1.97,Mulanje,50.0
1985,77.78,19.84,35.03,6.78,Phalombe,3.92,2.03,Mulanje,50.0
1986,76.76,19.84,36.25,7.5,Phalombe,4.53,1.86,Mulanje,50.0
1987,73.34,20.65,37.53,7.09,Phalombe,2.78,2.06,Mulanje,50.0
1988,75.95,20.48,35.79,7.68,Phalombe,3.24,2.03,Mulanje,50.0
1989,74.16,20.41,36.84,7.98,Phalombe,4.1,2.18,Mulanje,50.0
1990,69.3,21.17,37.7,7.71,Phalombe,2.16,2.17,Mulanje,50.0
1991,73.92,20.33,34.41,7.29,Phalombe,3.09,2.05,Mulanje,50.0
1992,65.26,21.73,36.88,7.91,Phalombe,1.81,2.2,Mulanje,50.0
1993,70.76,21.07,36.18,8.37,Phalombe,2.4,2.01,Mulanje,50.0
1994,68.64,20.83,38.41,7.17,Phalombe,2.25,2.24,Mulanje,50.0
1995,72.33,20.75,36.43,7.74,Phalombe,2.83,2.19,Mulanje,50.0
1996,74.48,20.39,37.48,6.68,Phalombe,3.45,2.13,Mulanje,50.0
1997,76.55,20.48,37.95,8.14,Phalombe,3.63,2.04,Mulanje,50.0
1998,70.11,21.43,36.62,8.48,Phalombe,2.29,2.26,Mulanje,50.0
1999,78.88,20.12,36.59,9.11,Phalombe,3.4,2.1,Mulanje,50.0
2000,72.78,21.13,36.1,8.28,Phalombe,2.88,2.04,Mulanje,50.0
2001,70.74,21.24,37.0,8.01,Phalombe,2.96,2.04,Mulanje,50.0
2002,72.89,20.91,36.98,9.43,Phalombe,2.26,2.11,Mulanje,50.0
2003,72.9,21.07,37.4,8.7,Phalombe,2.9,2.07,Mulanje,50.0
2004,77.73,20.45,36.36,8.84,Phalombe,3.31,2.1,Mulanje,50.0
2005,69.56,21.57,37.36,8.48,Phalombe,2.31,2.07,Mulanje,50.0
2006,73.32,21.07,37.84,7.94,Phalombe,2.72,2.01,Mulanje,50.0
2007,76.0,20.72,36.86,7.94,Phalombe,3.3,2.08,Mulanje,50.0
2008,72.06,20.78,38.46,8.02,Phalombe,2.49,1.98,Mulanje,50.0
2009,73.87,20.83,37.16,8.38,Phalombe,2.42,1.99,Mulanje,50.0
2010,73.97,21.26,37.8,8.08,Phalombe,3.79,2.03,Mulanje,50.0
2011,73.3,20.86,39.08,8.63,Phalombe,2.47,1.95,Mulanje,50.0
2012,71.05,21.2,37.57,7.23,Phalombe,2.9,2.0,Mulanje,50.0
2013,74.06,20.61,37.39,8.61,Phalombe,3.25,2.1,Mulanje,50.0
2014,72.27,21.12,38.1,8.72,Phalombe,2.71,2.06,Mulanje,50.0
2015,72.07,21.22,38.87,8.57,Phalombe,4.01,2.0,Mulanje,50.0
2016,69.91,21.77,38.64,8.7,Phalombe,3.27,2.07,Mulanje,50.0
2017,74.94,20.98,38.57,9.24,Phalombe,4.94,1.93,Mulanje,50.0
2018,78.57,20.36,36.79,8.46,Phalombe,4.03,2.04,Mulanje,50.0
2019,75.57,21.12,38.67,8.21,Phalombe,4.68,1.98,Mulanje,50.0
2020,73.94,21.12,39.68,7.37,Phalombe,3.79,2.03,Mulanje,50.0
2021,74.7,20.94,38.58,7.99,Phalombe,3.64,2.02,Mulanje,50.0
2022,78.01,20.48,36.26,9.15,Phalombe,6.13,1.96,Mulanje,50.0
2023,75.75,21.16,38.06,8.76,Phalombe,5.01,1.94,Mulanje,50.0
2024,76.39,20.89,35.75,7.88,Phalombe,3.92,1.96,Mulanje,50.0
2025,77.71,20.75,37.7,7.04,Phalombe,4.97,1.86,Mulanje,50.0
1981,65.17,22.45,35.17,9.44,Rumphi,3.4,2.9,Chitipa,50.0
1982,71.07,22.14,33.96,9.32,Rumphi,5.28,2.82,Chitipa,50.0
1983,67.54,22.94,36.16,11.45,Rumphi,3.64,2.93,Chitipa,50.0
1984,70.82,21.74,33.88,11.54,Rumphi,5.74,2.87,Chitipa,50.0
1985,70.08,21.64,35.03,9.93,Rumphi,5.32,2.83,Chitipa,50.0
1986,69.97,21.73,34.23,9.91,Rumphi,5.01,2.89,Chitipa,50.0
1987,68.42,22.49,34.85,9.93,Rumphi,3.92,2.76,Chitipa,50.0
1988,66.72,22.9,34.71,11.68,Rumphi,3.9,2.89,Chitipa,50.0
1989,70.89,21.8,34.86,10.54,Rumphi,4.75,2.83,Chitipa,50.0
1990,65.98,22.57,36.42,11.21,Rumphi,3.18,2.99,Chitipa,50.0
1991,67.61,22.44,35.21,9.91,Rumphi,3.76,2.86,Chitipa,50.0
1992,65.35,22.65,34.81,10.19,Rumphi,2.77,2.96,Chitipa,50.0
1993,67.11,22.29,36.04,10.06,Rumphi,3.62,3.0,Chitipa,50.0
1994,66.3,22.49,36.22,10.63,Rumphi,3.44,2.92,Chitipa,50.0
1995,66.61,22.47,36.02,10.82,Rumphi,3.25,2.96,Chitipa,50.0
1996,67.78,22.26,35.56,9.43,Rumphi,4.05,2.8,Chitipa,50.0
1997,69.76,22.4,36.08,10.6,Rumphi,3.36,2.98,Chitipa,50.0
1998,62.59,23.55,35.61,11.64,Rumphi,1.94,3.04,Chitipa,50.0
1999,67.87,22.4,35.54,10.78,Rumphi,3.59,3.01,Chitipa,50.0
2000,63.95,22.91,34.76,11.1,Rumphi,2.48,2.87,Chitipa,50.0
2001,63.52,23.04,36.25,11.5,Rumphi,2.27,2.83,Chitipa,50.0
2002,65.47,23.03,35.21,11.0,Rumphi,2.86,2.91,Chitipa,50.0
2003,64.78,23.21,35.65,10.69,Rumphi,2.8,2.65,Chitipa,50.0
2004,67.62,22.77,35.49,10.8,Rumphi,3.15,2.87,Chitipa,50.0
2005,64.36,23.32,35.8,11.51,Rumphi,2.03,2.81,Chitipa,50.0
2006,68.78,22.74,35.62,10.19,Rumphi,4.34,2.66,Chitipa,50.0
2007,69.14,22.65,35.99,10.91,Rumphi,4.02,2.68,Chitipa,50.0
2008,67.59,22.45,35.55,10.47,Rumphi,3.22,2.62,Chitipa,50.0
2009,67.92,22.68,34.47,11.25,Rumphi,3.39,2.62,Chitipa,50.0
2010,67.19,22.94,35.44,10.42,Rumphi,3.19,2.74,Chitipa,50.0
2011,69.09,22.59,35.97,11.11,Rumphi,3.55,2.48,Chitipa,50.0
2012,66.7,22.83,35.51,10.92,Rumphi,3.35,2.55,Chitipa,50.0
2013,65.52,23.13,36.54,11.82,Rumphi,3.34,2.76,Chitipa,50.0
2014,70.07,22.7,35.24,10.81,Rumphi,3.92,2.65,Chitipa,50.0
2015,67.53,23.14,36.0,12.55,Rumphi,3.07,2.69,Chitipa,50.0
2016,68.56,22.78,35.2,11.06,Rumphi,3.8,2.68,Chitipa,50.0
2017,70.67,22.67,35.77,12.3,Rumphi,4.47,2.59,Chitipa,50.0
2018,71.55,22.38,34.57,10.77,Rumphi,4.11,2.69,Chitipa,50.0
2019,71.37,22.85,37.13,11.61,Rumphi,3.92,2.58,Chitipa,50.0
2020,73.18,22.42,34.66,11.26,Rumphi,5.01,2.57,Chitipa,50.0
2021,70.43,22.45,35.6,10.53,Rumphi,3.37,2.79,Chitipa,50.0
2022,71.03,22.25,34.46,11.94,Rumphi,5.05,2.6,Chitipa,50.0
2023,70.24,23.09,35.83,11.44,Rumphi,3.65,2.62,Chitipa,50.0
2024,68.91,23.21,35.39,11.46,Rumphi,3.25,2.64,Chitipa,50.0
2025,69.67,22.83,34.94,10.8,Rumphi,4.94,2.71,Chitipa,50.0
1981,71.56,19.1,35.71,4.32,Salima,2.65,2.49,Lilongwe,50.0
1982,76.71,18.89,32.85,4.88,Salima,4.69,2.38,Lilongwe,50.0
1983,71.51,20.17,35.51,6.13,Salima,3.86,2.35,Lilongwe,50.0
1984,76.08,19.01,32.78,6.58,Salima,4.47,2.37,Lilongwe,50.0
1985,76.97,18.66,34.57,3.57,Salima,3.96,2.4,Lilongwe,50.0
1986,75.96,18.79,33.64,5.23,Salima,4.59,2.36,Lilongwe,50.0
1987,71.51,19.72,34.76,5.47,Salima,3.24,2.31,Lilongwe,50.0
1988,73.89,19.6,33.4,6.12,Salima,3.58,2.46,Lilongwe,50.0
1989,76.31,18.99,34.95,6.22,Salima,4.45,2.42,Lilongwe,50.0
1990,69.21,19.88,35.07,6.98,Salima,2.9,2.48,Lilongwe,50.0
1991,69.87,19.73,33.1,5.87,Salima,3.35,2.39,Lilongwe,50.0
1992,64.55,20.53,34.55,6.4,Salima,2.86,2.41,Lilongwe,50.0
1993,73.08,19.51,35.03,6.08,Salima,3.89,2.39,Lilongwe,50.0
1994,64.87,20.18,35.72,6.35,Salima,2.67,2.48,Lilongwe,50.0
1995,66.58,20.24,35.21,6.02,Salima,2.88,2.49,Lilongwe,50.0
1996,71.33,19.63,34.83,5.65,Salima,3.38,2.41,Lilongwe,50.0
1997,74.2,19.65,35.56,6.74,Salima,2.9,2.52,Lilongwe,50.0
1998,64.16,20.94,34.44,7.53,Salima,2.12,2.63,Lilongwe,50.0
1999,75.77,19.26,34.09,4.95,Salima,3.32,2.56,Lilongwe,50.0
2000,70.65,20.01,33.82,7.71,Salima,2.6,2.46,Lilongwe,50.0
2001,69.51,20.05,34.08,5.55,Salima,2.8,2.39,Lilongwe,50.0
2002,68.43,20.35,34.8,5.81,Salima,2.6,2.42,Lilongwe,50.0
2003,70.57,20.11,34.86,7.18,Salima,2.89,2.25,Lilongwe,50.0
2004,72.67,19.9,34.49,7.28,Salima,3.51,2.4,Lilongwe,50.0
2005,65.98,20.63,35.23,6.91,Salima,1.88,2.38,Lilongwe,50.0
2006,71.83,19.96,35.17,5.38,Salima,2.93,2.31,Lilongwe,50.0
2007,69.81,20.34,35.6,6.98,Salima,2.77,2.36,Lilongwe,50.0
2008,68.07,20.02,35.45,6.16,Salima,2.56,2.29,Lilongwe,50.0
2009,70.98,19.94,34.65,6.84,Salima,2.83,2.23,Lilongwe,50.0
2010,69.72,20.52,35.53,6.66,Salima,3.25,2.4,Lilongwe,50.0
2011,70.74,19.98,36.99,6.19,Salima,2.61,2.16,Lilongwe,50.0
2012,68.86,20.31,35.07,4.97,Salima,3.07,2.22,Lilongwe,50.0
2013,68.41,20.29,35.51,7.41,Salima,3.37,2.31,Lilongwe,50.0
2014,70.53,20.23,36.56,7.02,Salima,3.68,2.29,Lilongwe,50.0
2015,67.98,20.68,36.32,7.41,Salima,1.75,2.37,Lilongwe,50.0
2016,66.43,20.93,35.54,7.94,Salima,2.27,2.4,Lilongwe,50.0
2017,71.7,20.28,37.03,7.83,Salima,2.7,2.42,Lilongwe,50.0
2018,71.05,20.29,35.15,5.41,Salima,3.36,2.39,Lilongwe,50.0
2019,73.52,20.19,35.84,5.67,Salima,3.62,2.32,Lilongwe,50.0
2020,71.56,20.32,35.16,6.76,Salima,3.93,2.33,Lilongwe,50.0
2021,72.2,20.03,35.5,6.84,Salima,3.07,2.39,Lilongwe,50.0
2022,75.12,19.66,34.57,7.01,Salima,4.48,2.23,Lilongwe,50.0
2023,74.17,20.36,35.64,6.61,Salima,3.3,2.26,Lilongwe,50.0
2024,70.23,20.6,34.4,5.97,Salima,4.22,2.29,Lilongwe,50.0
2025,72.29,20.28,34.9,5.95,Salima,2.89,2.42,Lilongwe,50.0
