YEAR,humidity,tavg,tmax,tmin,district,rainfall,wind,yield
2020,66.74,23.82,43.15,9.48,Mwanza,3.79,2.03,2860.3173062927563
2021,67.52,23.65,42.11,9.94,Mwanza,3.64,2.02,2874.904222284954
2022,72.11,23.05,39.98,10.22,Mwanza,6.13,1.96,2283.1237322515212
2023,69.1,23.84,41.99,10.56,Mwanza,5.01,1.94,1520.9954838089748
2024,67.85,23.77,40.51,10.37,Mwanza,3.92,1.96,
2025,71.33,23.33,41.28,9.31,Mwanza,4.97,1.86,
1981,66.77,22.75,41.87,8.32,Neno,3.03,2.08,
1982,69.34,22.57,38.49,9.28,Neno,4.06,1.9,
1983,63.15,24.14,39.56,9.63,Neno,2.85,2.1,
1984,70.46,22.78,39.5,10.42,Neno,4.88,1.97,
1985,69.87,22.63,39.61,8.85,Neno,3.92,2.03,1178.7816739186076
1986,69.38,22.54,39.31,9.58,Neno,4.53,1.86,1013.3300049925114
1987,63.58,23.81,41.29,10.13,Neno,2.78,2.06,711.7980825670122
1988,67.33,23.39,39.29,10.34,Neno,3.24,2.03,781.9189221509148
1989,67.71,23.08,40.08,10.61,Neno,4.1,2.18,517.1906299824209
1990,60.97,24.04,41.05,10.56,Neno,2.16,2.17,638.6110888871111
1991,64.44,23.32,38.36,10.35,Neno,3.09,2.05,877.5525812619504
1992,55.24,24.9,40.41,9.57,Neno,1.81,2.2,65.59944983571484
1993,62.18,23.96,39.81,10.54,Neno,2.4,2.01,1381.7532438175324
1994,59.18,23.79,41.9,10.17,Neno,2.25,2.24,478.1881299928896
1995,62.54,23.83,39.96,9.67,Neno,2.83,2.19,899.4161865150531
1996,66.65,23.22,40.37,9.76,Neno,3.45,2.13,1227.6430842607313
1997,70.32,23.0,41.77,10.73,Neno,3.63,2.04,1004.3649718534575
1998,60.84,24.38,40.08,11.0,Neno,2.29,2.26,1284.8934361349711
1999,71.31,22.81,40.22,9.04,Neno,3.4,2.1,1705.4022236756052
2000,65.28,23.81,39.4,10.54,Neno,2.88,2.04,1800.348539786941
2001,65.1,23.73,39.53,10.4,Neno,2.96,2.04,936.4643915285856
2002,62.68,24.0,40.13,11.12,Neno,2.26,2.11,952.7531700538475
2003,65.7,23.73,41.17,10.71,Neno,2.9,2.07,3360.579851382629
2004,69.48,23.23,40.15,10.53,Neno,3.31,2.1,
2005,61.54,24.39,40.39,10.31,Neno,2.31,2.07,1233.756173138375
2006,66.34,23.7,41.6,10.72,Neno,2.72,2.01,835.1266532167675
2007,68.05,23.52,40.67,10.53,Neno,3.3,2.08,1377.347354866402
2008,63.79,23.64,40.73,10.04,Neno,2.49,1.98,1261.8027749324892
2009,65.42,23.7,40.41,10.61,Neno,2.42,1.99,1545.9138054363377
2010,66.71,23.99,41.11,9.89,Neno,3.79,2.03,832.9839896534808
2011,66.07,23.47,43.02,10.1,Neno,2.47,1.95,1382.6501843417914
2012,63.51,23.96,41.1,9.83,Neno,2.9,2.0,1233.2873112724358
2013,66.98,23.3,41.56,10.69,Neno,3.25,2.1,1712.420591456736
2014,65.23,23.78,41.35,10.67,Neno,2.71,2.06,1837.3293664683235
2015,65.22,23.89,42.34,11.0,Neno,4.01,2.0,1367.4100531405174
2016,62.22,24.57,41.26,10.93,Neno,3.27,2.07,800.9965470518816
2017,69.06,23.48,41.92,11.0,Neno,4.94,1.93,1745.203443905424
2018,71.32,23.08,40.87,10.34,Neno,4.03,2.04,1095.0544898349372
2019,70.31,23.55,42.38,9.95,Neno,4.68,1.98,1774.1062220694396
2020,66.74,23.82,43.15,9.48,Neno,3.79,2.03,1913.2779727763034
2021,67.52,23.65,42.11,9.94,Neno,3.64,2.02,2112.6423962399426
2022,72.11,23.05,39.98,10.22,Neno,6.13,1.96,1754.691475826972
2023,69.1,23.84,41.99,10.56,Neno,5.01,1.94,1913.4295227524974
2024,67.85,23.77,40.51,10.37,Neno,3.92,1.96,
2025,71.33,23.33,41.28,9.31,Neno,4.97,1.86,
1981,65.17,22.45,35.17,9.44,Nkhata Bay,3.4,2.9,
1982,71.07,22.14,33.96,9.32,Nkhata Bay,5.28,2.82,
1983,67.54,22.94,36.16,11.45,Nkhata Bay,3.64,2.93,
1984,70.82,21.74,33.88,11.54,Nkhata Bay,5.74,2.87,1165.0793650793648
1985,70.08,21.64,35.03,9.93,Nkhata Bay,5.32,2.83,1062.6765990238891
1986,69.97,21.73,34.23,9.91,Nkhata Bay,5.01,2.89,1064.447403462051
1987,68.42,22.49,34.85,9.93,Nkhata Bay,3.92,2.76,1079.115479115479
1988,66.72,22.9,34.71,11.68,Nkhata Bay,3.9,2.89,1273.953488372093
1989,70.89,21.8,34.86,10.54,Nkhata Bay,4.75,2.83,1001.2345679012344
1990,65.98,22.57,36.42,11.21,Nkhata Bay,3.18,2.99,931.5068493150685
1991,67.61,22.44,35.21,9.91,Nkhata Bay,3.76,2.86,
1992,65.35,22.65,34.81,10.19,Nkhata Bay,2.77,2.96,775.6835678258562
1993,67.11,22.29,36.04,10.06,Nkhata Bay,3.62,3.0,1088.2961124896608
1994,66.3,22.49,36.22,10.63,Nkhata Bay,3.44,2.92,937.9775280898875
1995,66.61,22.47,36.02,10.82,Nkhata Bay,3.25,2.96,1324.3839646929016
1996,67.78,22.26,35.56,9.43,Nkhata Bay,4.05,2.8,1488.8313370022659
1997,69.76,22.4,36.08,10.6,Nkhata Bay,3.36,2.98,1550.0201423391968
1998,62.59,23.55,35.61,11.64,Nkhata Bay,1.94,3.04,1471.4193962748875
1999,67.87,22.4,35.54,10.78,Nkhata Bay,3.59,3.01,2094.975845410628
2000,63.95,22.91,34.76,11.1,Nkhata Bay,2.48,2.87,2069.3000693000695
2001,63.52,23.04,36.25,11.5,Nkhata Bay,2.27,2.83,1836.9257950530036
2002,65.47,23.03,35.21,11.0,Nkhata Bay,2.86,2.91,1191.4745376235117
2003,64.78,23.21,35.65,10.69,Nkhata Bay,2.8,2.65,1322.2560694175204
2004,67.62,22.77,35.49,10.8,Nkhata Bay,3.15,2.87,1288.1473489519112
2005,64.36,23.32,35.8,11.51,Nkhata Bay,2.03,2.81,1438.853335671079
2006,68.78,22.74,35.62,10.19,Nkhata Bay,4.34,2.66,2389.1647455222555
2007,69.14,22.65,35.99,10.91,Nkhata Bay,4.02,2.68,2618.3779119930978
2008,67.59,22.45,35.55,10.47,Nkhata Bay,3.22,2.62,2216.6947723440135
2009,67.92,22.68,34.47,11.25,Nkhata Bay,3.39,2.62,2887.7058489494607
2010,67.19,22.94,35.44,10.42,Nkhata Bay,3.19,2.74,2838.492597577389
2011,69.09,22.59,35.97,11.11,Nkhata Bay,3.55,2.48,3042.108179236789
2012,66.7,22.83,35.51,10.92,Nkhata Bay,3.35,2.55,2773.902665428988
2013,65.52,23.13,36.54,11.82,Nkhata Bay,3.34,2.76,2578.5243646368835
2014,70.07,22.7,35.24,10.81,Nkhata Bay,3.92,2.65,2304.2519908987488
2015,67.53,23.14,36.0,12.55,Nkhata Bay,3.07,2.69,1776.845398947518
2016,68.56,22.78,35.2,11.06,Nkhata Bay,3.8,2.68,1685.0092185505603
2017,70.67,22.67,35.77,12.3,Nkhata Bay,4.47,2.59,1760.8588870956423
2018,71.55,22.38,34.57,10.77,Nkhata Bay,4.11,2.69,1720.4868439566626
2019,71.37,22.85,37.13,11.61,Nkhata Bay,3.92,2.58,1779.3111871030778
2020,73.18,22.42,34.66,11.26,Nkhata Bay,5.01,2.57,1811.132516857025
2021,70.43,22.45,35.6,10.53,Nkhata Bay,3.37,2.79,2021.8997069718582
2022,71.03,22.25,34.46,11.94,Nkhata Bay,5.05,2.6,1997.0589867376948
2023,70.24,23.09,35.83,11.44,Nkhata Bay,3.65,2.62,1956.568398459693
2024,68.91,23.21,35.39,11.46,Nkhata Bay,3.25,2.64,
2025,69.67,22.83,34.94,10.8,Nkhata Bay,4.94,2.71,
1981,67.92,20.15,36.8,4.5,Nkhotakota,2.65,2.49,
1982,75.58,19.67,34.35,5.16,Nkhotakota,4.69,2.38,
1983,68.67,21.14,36.77,6.88,Nkhotakota,3.86,2.35,
1984,73.49,19.85,33.79,6.99,Nkhotakota,4.47,2.37,1165.5838454784898
1985,75.35,19.36,35.95,4.44,Nkhotakota,3.96,2.4,1551.414502268997
1986,73.16,19.69,35.3,5.65,Nkhotakota,4.59,2.36,1198.575578671165
1987,68.92,20.63,35.93,5.85,Nkhotakota,3.24,2.31,1130.4785894206548
1988,71.18,20.53,35.07,7.16,Nkhotakota,3.58,2.46,1473.7288135593221
1989,74.86,19.74,35.67,6.48,Nkhotakota,4.45,2.42,1475.7281553398059
1990,67.01,20.7,36.46,7.76,Nkhotakota,2.9,2.48,1263.5897435897436
1991,66.89,20.72,34.51,6.34,Nkhotakota,3.35,2.39,1458.4724131160415
1992,62.21,21.43,35.1,7.79,Nkhotakota,2.86,2.41,599.9656622886084
1993,71.98,20.16,36.06,5.82,Nkhotakota,3.89,2.39,2496.9031704176123
1994,63.56,20.93,37.55,6.19,Nkhotakota,2.67,2.48,1409.4144865634455
1995,63.07,21.27,36.98,6.98,Nkhotakota,2.88,2.49,1973.734073832081
1996,68.96,20.49,35.68,5.82,Nkhotakota,3.38,2.41,2209.295458572019
1997,72.43,20.43,36.82,7.27,Nkhotakota,2.9,2.52,2052.588138191251
1998,59.99,22.05,35.87,8.08,Nkhotakota,2.12,2.63,1630.555877915748
1999,72.58,20.2,35.53,5.45,Nkhotakota,3.32,2.56,2444.1177961376657
2000,67.52,20.91,34.78,8.24,Nkhotakota,2.6,2.46,2256.2486872505774
2001,66.35,20.99,35.43,6.36,Nkhotakota,2.8,2.39,1144.4850466391
2002,65.77,21.28,35.95,6.13,Nkhotakota,2.6,2.42,1041.1529073042498
2003,66.91,21.14,36.37,7.41,Nkhotakota,2.89,2.25,1401.4788546421698
2004,69.58,20.87,36.17,7.98,Nkhotakota,3.51,2.4,912.9369086719937
2005,62.54,21.61,36.39,7.91,Nkhotakota,1.88,2.38,837.2353848310669
2006,68.63,20.91,36.65,6.73,Nkhotakota,2.93,2.31,1771.8904584629506
2007,68.81,20.98,36.25,7.0,Nkhotakota,2.77,2.36,1695.4637524141506
2008,65.31,20.93,36.21,6.61,Nkhotakota,2.56,2.29,1663.7517228268619
2009,69.7,20.62,34.83,7.42,Nkhotakota,2.83,2.23,2700.407080455564
2010,66.81,21.44,36.61,7.58,Nkhotakota,3.25,2.4,2863.7457203664294
2011,68.43,20.81,38.14,6.81,Nkhotakota,2.61,2.16,3038.9816282756688
2012,66.35,21.21,36.41,5.95,Nkhotakota,3.07,2.22,2937.5852499882417
2013,65.2,21.28,36.76,8.17,Nkhotakota,3.37,2.31,2894.021489576637
2014,70.15,20.81,37.91,6.65,Nkhotakota,3.68,2.29,3186.137005045754
2015,65.73,21.6,38.07,8.2,Nkhotakota,1.75,2.37,2487.6002160096373
2016,62.25,22.04,36.69,8.43,Nkhotakota,2.27,2.4,2249.0182299202183
2017,67.81,21.39,38.44,8.73,Nkhotakota,2.7,2.42,2394.788836749815
2018,69.74,21.0,36.11,6.06,Nkhotakota,3.36,2.39,2398.1333557554863
2019,71.8,20.96,37.69,6.59,Nkhotakota,3.62,2.32,2383.3668005354752
2020,70.76,21.01,36.09,6.92,Nkhotakota,3.93,2.33,2831.21031667784
2021,70.47,20.82,36.83,7.06,Nkhotakota,3.07,2.39,2982.6062778052396
2022,74.59,20.22,35.4,7.54,Nkhotakota,4.48,2.23,2965.405889311635
2023,72.25,21.14,37.06,7.02,Nkhotakota,3.3,2.26,2965.405889311635
2024,66.93,21.64,35.9,6.79,Nkhotakota,4.22,2.29,
2025,67.29,21.54,36.46,7.21,Nkhotakota,2.89,2.42,
1981,71.56,19.1,35.71,4.32,Ntchisi,2.65,2.49,
1982,76.71,18.89,32.85,4.88,Ntchisi,4.69,2.38,
1983,71.51,20.17,35.51,6.13,Ntchisi,3.86,2.35,
1984,76.08,19.01,32.78,6.58,Ntchisi,4.47,2.37,1736.9565217391305
1985,76.97,18.66,34.57,3.57,Ntchisi,3.96,2.4,1496.3503649635038
1986,75.96,18.79,33.64,5.23,Ntchisi,4.59,2.36,1341.6422287390028
1987,71.51,19.72,34.76,5.47,Ntchisi,3.24,2.31,1250.485436893204
1988,73.89,19.6,33.4,6.12,Ntchisi,3.58,2.46,1326.1724659606657
1989,76.31,18.99,34.95,6.22,Ntchisi,4.45,2.42,1798.5532368824588
1990,69.21,19.88,35.07,6.98,Ntchisi,2.9,2.48,1336.7222313913187
1991,69.87,19.73,33.1,5.87,Ntchisi,3.35,2.39,1395.651821534222
1992,64.55,20.53,34.55,6.4,Ntchisi,2.86,2.41,1144.2263100942957
1993,73.08,19.51,35.03,6.08,Ntchisi,3.89,2.39,1951.2839374080513
1994,64.87,20.18,35.72,6.35,Ntchisi,2.67,2.48,976.3408521303259
1995,66.58,20.24,35.21,6.02,Ntchisi,2.88,2.49,1388.5191620496344
1996,71.33,19.63,34.83,5.65,Ntchisi,3.38,2.41,1562.8155540464732
1997,74.2,19.65,35.56,6.74,Ntchisi,2.9,2.52,1604.423473901504
1998,64.16,20.94,34.44,7.53,Ntchisi,2.12,2.63,1463.5127595219217
1999,75.77,19.26,34.09,4.95,Ntchisi,3.32,2.56,1801.2921751615218
2000,70.65,20.01,33.82,7.71,Ntchisi,2.6,2.46,1956.6388627438253
2001,69.51,20.05,34.08,5.55,Ntchisi,2.8,2.39,1379.614233455271
2002,68.43,20.35,34.8,5.81,Ntchisi,2.6,2.42,1252.745697463768
2003,70.57,20.11,34.86,7.18,Ntchisi,2.89,2.25,1511.8570379989837
2004,72.67,19.9,34.49,7.28,Ntchisi,3.51,2.4,893.8902030220452
2005,65.98,20.63,35.23,6.91,Ntchisi,1.88,2.38,1040.599423631124
2006,71.83,19.96,35.17,5.38,Ntchisi,2.93,2.31,1598.374224061484
2007,69.81,20.34,35.6,6.98,Ntchisi,2.77,2.36,2179.9556565911703
2008,68.07,20.02,35.45,6.16,Ntchisi,2.56,2.29,2410.2537410540012
2009,70.98,19.94,34.65,6.84,Ntchisi,2.83,2.23,2630.4218040233613
2010,69.72,20.52,35.53,6.66,Ntchisi,3.25,2.4,2934.657780056396
2011,70.74,19.98,36.99,6.19,Ntchisi,2.61,2.16,2404.683369004155
2012,68.86,20.31,35.07,4.97,Ntchisi,3.07,2.22,3025.2948060131425
2013,68.41,20.29,35.51,7.41,Ntchisi,3.37,2.31,2884.9418940080773
2014,70.53,20.23,36.56,7.02,Ntchisi,3.68,2.29,3198.992646860775
2015,67.98,20.68,36.32,7.41,Ntchisi,1.75,2.37,2560.658728397801
2016,66.43,20.93,35.54,7.94,Ntchisi,2.27,2.4,3164.725457570715
2017,71.7,20.28,37.03,7.83,Ntchisi,2.7,2.42,3440.302176925484
2018,71.05,20.29,35.15,5.41,Ntchisi,3.36,2.39,2862.516733601071
2019,73.52,20.19,35.84,5.67,Ntchisi,3.62,2.32,3314.1368193260614
2020,71.56,20.32,35.16,6.76,Ntchisi,3.93,2.33,3439.1763394320938
2021,72.2,20.03,35.5,6.84,Ntchisi,3.07,2.39,3668.3959788445236
2022,75.12,19.66,34.57,7.01,Ntchisi,4.48,2.23,3707.0404011343553
2023,74.17,20.36,35.64,6.61,Ntchisi,3.3,2.26,3913.502892697304
2024,70.23,20.6,34.4,5.97,Ntchisi,4.22,2.29,
2025,72.29,20.28,34.9,5.95,Ntchisi,2.89,2.42,
1981,76.04,19.77,38.26,5.32,Phalombe,3.03,2.08,
1982,76.86,19.91,35.08,7.71,Phalombe,4.06,1.9,
1983,73.76,20.98,34.96,8.35,Phalombe,2.85,2.1,
1984,77.86,19.98,35.72,8.03,Phalombe,4.88,1.97,1137.9326127538309
1985,77.78,19.84,35.03,6.78,Phalombe,3.92,2.03,814.4356819352869
1986,76.76,19.84,36.25,7.5,Phalombe,4.53,1.86,906.8380813992516
1987,73.34,20.65,37.53,7.09,Phalombe,2.78,2.06,913.3267582940064
1988,75.95,20.48,35.79,7.68,Phalombe,3.24,2.03,1116.4311744459321
1989,74.16,20.41,36.84,7.98,Phalombe,4.1,2.18,959.5952611441478
1990,69.3,21.17,37.7,7.71,Phalombe,2.16,2.17,931.369688707624
1991,73.92,20.33,34.41,7.29,Phalombe,3.09,2.05,970.2447055086286
1992,65.26,21.73,36.88,7.91,Phalombe,1.81,2.2,298.5391586536725
1993,70.76,21.07,36.18,8.37,Phalombe,2.4,2.01,1257.234594917692
1994,68.64,20.83,38.41,7.17,Phalombe,2.25,2.24,763.872869726149
1995,72.33,20.75,36.43,7.74,Phalombe,2.83,2.19,895.9272964684469
1996,74.48,20.39,37.48,6.68,Phalombe,3.45,2.13,1420.225104457405
1997,76.55,20.48,37.95,8.14,Phalombe,3.63,2.04,800.0104764729405
1998,70.11,21.43,36.62,8.48,Phalombe,2.29,2.26,1602.6844575708033
1999,78.88,20.12,36.59,9.11,Phalombe,3.4,2.1,1733.6122733612274
2000,72.78,21.13,36.1,8.28,Phalombe,2.88,2.04,1468.2987268221823
2001,70.74,21.24,37.0,8.01,Phalombe,2.96,2.04,1355.602862578132
2002,72.89,20.91,36.98,9.43,Phalombe,2.26,2.11,1046.2370987802483
2003,72.9,21.07,37.4,8.7,Phalombe,2.9,2.07,1391.2011468590633
2004,77.73,20.45,36.36,8.84,Phalombe,3.31,2.1,730.5074441835238
2005,69.56,21.57,37.36,8.48,Phalombe,2.31,2.07,629.9884768243068
2006,73.32,21.07,37.84,7.94,Phalombe,2.72,2.01,1442.5328819579333
2007,76.0,20.72,36.86,7.94,Phalombe,3.3,2.08,1904.6804754943873
2008,72.06,20.78,38.46,8.02,Phalombe,2.49,1.98,1580.8095476988883
2009,73.87,20.83,37.16,8.38,Phalombe,2.42,1.99,2321.8204619082453
2010,73.97,21.26,37.8,8.08,Phalombe,3.79,2.03,1512.078419201324
2011,73.3,20.86,39.08,8.63,Phalombe,2.47,1.95,2001.9427402862987
2012,71.05,21.2,37.57,7.23,Phalombe,2.9,2.0,1775.800981930455
2013,74.06,20.61,37.39,8.61,Phalombe,3.25,2.1,2581.7352079981006
2014,72.27,21.12,38.1,8.72,Phalombe,2.71,2.06,2645.3337445703855
2015,72.07,21.22,38.87,8.57,Phalombe,4.01,2.0,1360.6797003471586
2016,69.91,21.77,38.64,8.7,Phalombe,3.27,2.07,1177.8776978417268
2017,74.94,20.98,38.57,9.24,Phalombe,4.94,1.93,2432.2080520130035
2018,78.57,20.36,36.79,8.46,Phalombe,4.03,2.04,2445.3549420279637
2019,75.57,21.12,38.67,8.21,Phalombe,4.68,1.98,2361.8656141252304
2020,73.94,21.12,39.68,7.37,Phalombe,3.79,2.03,2670.505277135466
2021,74.7,20.94,38.58,7.99,Phalombe,3.64,2.02,3688.047157698144
2022,78.01,20.48,36.26,9.15,Phalombe,6.13,1.96,2824.088557333654
2023,75.75,21.16,38.06,8.76,Phalombe,5.01,1.94,1678.2652853950844
2024,76.39,20.89,35.75,7.88,Phalombe,3.92,1.96,
2025,77.71,20.75,37.7,7.04,Phalombe,4.97,1.86,
1981,65.17,22.45,35.17,9.44,Rumphi,3.4,2.9,
1982,71.07,22.14,33.96,9.32,Rumphi,5.28,2.82,
1983,67.54,22.94,36.16,11.45,Rumphi,3.64,2.93,
1984,70.82,21.74,33.88,11.54,Rumphi,5.74,2.87,1745.1898075923039
1985,70.08,21.64,35.03,9.93,Rumphi,5.32,2.83,1523.1052708141394
1986,69.97,21.73,34.23,9.91,Rumphi,5.01,2.89,1423.9821029082773
1987,68.42,22.49,34.85,9.93,Rumphi,3.92,2.76,1162.5256773941112
1988,66.72,22.9,34.71,11.68,Rumphi,3.9,2.89,1226.851851851852
1989,70.89,21.8,34.86,10.54,Rumphi,4.75,2.83,1250.5367464905037
1990,65.98,22.57,36.42,11.21,Rumphi,3.18,2.99,1480.4432040654808
1991,67.61,22.44,35.21,9.91,Rumphi,3.76,2.86,1340.5113863363963
1992,65.35,22.65,34.81,10.19,Rumphi,2.77,2.96,741.9872489916295
1993,67.11,22.29,36.04,10.06,Rumphi,3.62,3.0,1945.269016697588
1994,66.3,22.49,36.22,10.63,Rumphi,3.44,2.92,824.4252308901553
1995,66.61,22.47,36.02,10.82,Rumphi,3.25,2.96,1409.855453350854
1996,67.78,22.26,35.56,9.43,Rumphi,4.05,2.8,1900.101291466194
1997,69.76,22.4,36.08,10.6,Rumphi,3.36,2.98,1525.8331286334235
1998,62.59,23.55,35.61,11.64,Rumphi,1.94,3.04,1785.3746709104482
1999,67.87,22.4,35.54,10.78,Rumphi,3.59,3.01,2252.4353658947653
2000,63.95,22.91,34.76,11.1,Rumphi,2.48,2.87,1996.7381634871997
2001,63.52,23.04,36.25,11.5,Rumphi,2.27,2.83,1539.949558638083
2002,65.47,23.03,35.21,11.0,Rumphi,2.86,2.91,
2003,64.78,23.21,35.65,10.69,Rumphi,2.8,2.65,1063.6001226617602
2004,67.62,22.77,35.49,10.8,Rumphi,3.15,2.87,1159.1375770020534
2005,64.36,23.32,35.8,11.51,Rumphi,2.03,2.81,1060.5712905368682
2006,68.78,22.74,35.62,10.19,Rumphi,4.34,2.66,2187.1493754207495
2007,69.14,22.65,35.99,10.91,Rumphi,4.02,2.68,2830.5097339872195
2008,67.59,22.45,35.55,10.47,Rumphi,3.22,2.62,2366.2305867951954
2009,67.92,22.68,34.47,11.25,Rumphi,3.39,2.62,3251.003869460466
2010,67.19,22.94,35.44,10.42,Rumphi,3.19,2.74,2659.7968281809544
2011,69.09,22.59,35.97,11.11,Rumphi,3.55,2.48,2877.5858391981233
2012,66.7,22.83,35.51,10.92,Rumphi,3.35,2.55,2600.793041698644
2013,65.52,23.13,36.54,11.82,Rumphi,3.34,2.76,2150.9165731387952
2014,70.07,22.7,35.24,10.81,Rumphi,3.92,2.65,2151.668553919936
2015,67.53,23.14,36.0,12.55,Rumphi,3.07,2.69,1375.7571678557006
2016,68.56,22.78,35.2,11.06,Rumphi,3.8,2.68,1584.1406768414067
2017,70.67,22.67,35.77,12.3,Rumphi,4.47,2.59,2578.6337518620985
2018,71.55,22.38,34.57,10.77,Rumphi,4.11,2.69,2487.425017885642
2019,71.37,22.85,37.13,11.61,Rumphi,3.92,2.58,2693.946742107863
2020,73.18,22.42,34.66,11.26,Rumphi,5.01,2.57,2849.7174000807427
2021,70.43,22.45,35.6,10.53,Rumphi,3.37,2.79,3504.628878327731
2022,71.03,22.25,34.46,11.94,Rumphi,5.05,2.6,3102.903571723171
2023,70.24,23.09,35.83,11.44,Rumphi,3.65,2.62,3062.8347018921813
2024,68.91,23.21,35.39,11.46,Rumphi,3.25,2.64,
2025,69.67,22.83,34.94,10.8,Rumphi,4.94,2.71,
1981,71.56,19.1,35.71,4.32,Salima,2.65,2.49,
1982,76.71,18.89,32.85,4.88,Salima,4.69,2.38,
1983,71.51,20.17,35.51,6.13,Salima,3.86,2.35,
1984,76.08,19.01,32.78,6.58,Salima,4.47,2.37,1523.7458193979933
1985,76.97,18.66,34.57,3.57,Salima,3.96,2.4,1071.8518518518517
1986,75.96,18.79,33.64,5.23,Salima,4.59,2.36,1059.090909090909
1987,71.51,19.72,34.76,5.47,Salima,3.24,2.31,1023.8322211630124
1988,73.89,19.6,33.4,6.12,Salima,3.58,2.46,1132.7433628318583
1989,76.31,18.99,34.95,6.22,Salima,4.45,2.42,1094.3037974683546
1990,69.21,19.88,35.07,6.98,Salima,2.9,2.48,874.6384631987912
1991,69.87,19.73,33.1,5.87,Salima,3.35,2.39,1146.7484972045902
1992,64.55,20.53,34.55,6.4,Salima,2.86,2.41,285.41718659013395
1993,73.08,19.51,35.03,6.08,Salima,3.89,2.39,1963.0077369439073
1994,64.87,20.18,35.72,6.35,Salima,2.67,2.48,497.66859511268456
1995,66.58,20.24,35.21,6.02,Salima,2.88,2.49,903.4995930705732
1996,71.33,19.63,34.83,5.65,Salima,3.38,2.41,1710.5987611837577
1997,74.2,19.65,35.56,6.74,Salima,2.9,2.52,1299.7959764661227
1998,64.16,20.94,34.44,7.53,Salima,2.12,2.63,1078.9651445555255
1999,75.77,19.26,34.09,4.95,Salima,3.32,2.56,2342.7448177269475
2000,70.65,20.01,33.82,7.71,Salima,2.6,2.46,1962.2352285395764
2001,69.51,20.05,34.08,5.55,Salima,2.8,2.39,1342.3963005265066
2002,68.43,20.35,34.8,5.81,Salima,2.6,2.42,1019.2918040948412
2003,70.57,20.11,34.86,7.18,Salima,2.89,2.25,1410.3772684769956
2004,72.67,19.9,34.49,7.28,Salima,3.51,2.4,593.559428254634
2005,65.98,20.63,35.23,6.91,Salima,1.88,2.38,544.4441765712771
2006,71.83,19.96,35.17,5.38,Salima,2.93,2.31,1556.9072302262082
2007,69.81,20.34,35.6,6.98,Salima,2.77,2.36,1609.6562208817616
2008,68.07,20.02,35.45,6.16,Salima,2.56,2.29,1617.3635125222677
2009,70.98,19.94,34.65,6.84,Salima,2.83,2.23,2366.5071504089924
2010,69.72,20.52,35.53,6.66,Salima,3.25,2.4,2228.7049080243146
2011,70.74,19.98,36.99,6.19,Salima,2.61,2.16,2367.6800919396123
2012,68.86,20.31,35.07,4.97,Salima,3.07,2.22,1747.7258602180914
2013,68.41,20.29,35.51,7.41,Salima,3.37,2.31,1766.798740772905
2014,70.53,20.23,36.56,7.02,Salima,3.68,2.29,2495.2648558642936
2015,67.98,20.68,36.32,7.41,Salima,1.75,2.37,1385.0381185851675
2016,66.43,20.93,35.54,7.94,Salima,2.27,2.4,1500.1915708812262
2017,71.7,20.28,37.03,7.83,Salima,2.7,2.42,1992.9386346270387
2018,71.05,20.29,35.15,5.41,Salima,3.36,2.39,1353.5776901161516
2019,73.52,20.19,35.84,5.67,Salima,3.62,2.32,1939.8990430118834
2020,71.56,20.32,35.16,6.76,Salima,3.93,2.33,2007.2341943043455
2021,72.2,20.03,35.5,6.84,Salima,3.07,2.39,2470.8959256457365
2022,75.12,19.66,34.57,7.01,Salima,4.48,2.23,1818.1898202143345
2023,74.17,20.36,35.64,6.61,Salima,3.3,2.26,1714.1174840676088
2024,70.23,20.6,34.4,5.97,Salima,4.22,2.29,
2025,72.29,20.28,34.9,5.95,Salima,2.89,2.42,
